,CO2 emission per year
2021-01-01,25631012.30310356
2022-01-01,25771084.760688923
2023-01-01,26063316.95264317
2024-01-01,26444779.445604477
2025-01-01,26682810.868357528
2026-01-01,27018352.475610245
2027-01-01,27300733.899955094
2028-01-01,27592736.729153678
2029-01-01,27884996.168332018
2030-01-01,28165677.999054514
